model,slug,product_name,category,current_plan,current_months,current_price,current_promo,pdf_plan,pdf_months,pdf_price,pdf_promo,difference,status,source_pdf,source_page,confidence,notes
WD516AN,wd516an,เครื่องกรองน้ำ LG PuriCare รุ่น WD516AN,เครื่องกรองน้ำ,Outright ผ่อน 9 งวด | ทุก 6 เดือน,24,34110,"ราคาเต็ม ฿37,900 ลด 10% = ฿34,110",Visit 2Y | ทุก 6 เดือน,24,34110,"ลด 10% จาก ฿37,900",0,NEEDS_MANUAL_REVIEW,Price list_Aug_V3.pdf,3,low,PDF model cell says WD516 or WD518 across both Visit/Self rows; row-to-model allocation is ambiguous. | Current advance payment: ฿34110 | PDF policy: OUT_VISIT_2Y_DC10%_2026
WD516AN,wd516an,เครื่องกรองน้ำ LG PuriCare รุ่น WD516AN,เครื่องกรองน้ำ,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,799,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 5Y | ทุก 6 เดือน,60,799,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: VISIT_5Y_6M_PRO_149(1M)_DC50%(11M)
WD516AN,wd516an,เครื่องกรองน้ำ LG PuriCare รุ่น WD516AN,เครื่องกรองน้ำ,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,699,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 5Y | ทุก 6 เดือน,60,699,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: SELF_5Y_6M_PRO_149(1M)_DC50%(11M)
WD516AN,wd516an,เครื่องกรองน้ำ LG PuriCare รุ่น WD516AN,เครื่องกรองน้ำ,Visit 7 ปี (84 เดือน) | ไม่มีบริการ,84,599,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 7Y | ทุก 6 เดือน,84,599,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: VISIT_7Y_6M_PRO_149(1M)_DC50%(11M)
WD516AN,wd516an,เครื่องกรองน้ำ LG PuriCare รุ่น WD516AN,เครื่องกรองน้ำ,Self 7 ปี (84 เดือน) | ไม่มีบริการ,84,499,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 7Y | ทุก 6 เดือน,84,499,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: SELF_7Y_6M_PRO_149(1M)_DC50%(11M)
WD518AN,wd518an,เครื่องกรองน้ำ LG PuriCare รุ่น WD518AN,เครื่องกรองน้ำ,Outright ผ่อน 9 งวด | ทุก 6 เดือน,24,31410,"ราคาเต็ม ฿34,900 ลด 10% = ฿31,410",Self 2Y | ทุก 6 เดือน,24,31410,"ลด 10% จาก ฿34,900",0,NEEDS_MANUAL_REVIEW,Price list_Aug_V3.pdf,3,low,PDF model cell says WD516 or WD518 across both Visit/Self rows; row-to-model allocation is ambiguous. | Current advance payment: ฿31410 | PDF policy: OUT_SELF_2Y_DC10%_2026
WD518AN,wd518an,เครื่องกรองน้ำ LG PuriCare รุ่น WD518AN,เครื่องกรองน้ำ,Visit 5 ปี (60 เดือน) | ไม่มีบริการ,60,799,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 5Y | ทุก 6 เดือน,60,799,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: VISIT_5Y_6M_PRO_149(1M)_DC50%(11M)
WD518AN,wd518an,เครื่องกรองน้ำ LG PuriCare รุ่น WD518AN,เครื่องกรองน้ำ,Self 5 ปี (60 เดือน) | ไม่มีบริการ,60,699,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 5Y | ทุก 6 เดือน,60,699,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: SELF_5Y_6M_PRO_149(1M)_DC50%(11M)
WD518AN,wd518an,เครื่องกรองน้ำ LG PuriCare รุ่น WD518AN,เครื่องกรองน้ำ,Visit 7 ปี (84 เดือน) | ไม่มีบริการ,84,599,บิลแรก ฿149 + โปร 50% เดือน 2-12,Visit 7Y | ทุก 6 เดือน,84,599,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: VISIT_7Y_6M_PRO_149(1M)_DC50%(11M)
WD518AN,wd518an,เครื่องกรองน้ำ LG PuriCare รุ่น WD518AN,เครื่องกรองน้ำ,Self 7 ปี (84 เดือน) | ไม่มีบริการ,84,499,บิลแรก ฿149 + โปร 50% เดือน 2-12,Self 7Y | ทุก 6 เดือน,84,499,บิลแรก ฿149 + ลด 50% รอบบิล 2-12,0,MATCH,Price list_Aug_V3.pdf,4,high,Verified by rendered page because vector table extraction returned no table. | PDF policy: SELF_7Y_6M_PRO_149(1M)_DC50%(11M)
